SXW,Sauren Airport,-5.9701,148.8543
MBV,Masa Airport,-6.345,147.591
TIZ,Tari Airport,-5.84499979019,142.947998047
TBG,Tabubil Airport,-5.27861,141.225998
TPI,Tapini Airport,-8.35666666667,146.989166667
RAB,Tokua Airport,-4.34046,152.380005
TKW,Tekin Airport,-5.24366666667,142.165194444
TEP,Tep Tep Airport,-5.9553,146.5595
TSW,Tsewi Airport,-7.0695,146.1272
TRJ,Tarakbits Airport,-5.614,141.0421
TWY,Tawa Airport,-7.4463,146.1067
TKB,Tekadu Airport,-7.6808,146.5503
AYU,Aiyura Airport,-6.33805555556,145.904166667
UMC,Umba Airport,-7.0214,145.966
URU,Uroubi Airport,-9.5162,148.5591
UPR,Upiara Airport,-8.5411,142.6503
UVO,Uvol Airport,-6.0178,150.9557
TLW,Talasea Airport,-5.2726,150.0089
TCJ,Torembi Airport,-4.0165,143.1329
VAI,Vanimo Airport,-2.6926,141.3028
TON,Tonu Airport,-6.6552,155.4326
WAO,Wabo Airport,-6.98944444444,145.075111111
WBM,Wapenamanda Airport,-5.6433,143.895004
WAJ,Wawoi Falls Airport,-6.9523,142.6557
WWK,Wewak International Airport,-3.58383011818,143.669006348
WOA,Wonenara Airport,-6.796861111110001,145.891944444
WKN,Wakunai Airport,-5.8603,155.2223
WSU,Wasu Airport,-5.96170944919,147.19822526
WTP,Woitape Airport,-8.54583333333,147.2525
WUG,Wau Airport,-7.345556,146.718611
YVD,Yeva Airport,-7.548,146.188
SMJ,Sim Airport,-7.75,146.9273
WEP,Weam Airport,-8.6184,141.1381
AYY,Arugam Bay SPB,6.86,81.82388888890002
KYX,Yalumet Airport,-6.09,147.0117
KSX,Yasuru Airport,-6.6015,146.1813
AYZ,Zahn's Airport,40.71,-73.4
WUM,Wasum Airport,-6.0491,149.337
ZXT,Zabrat Airport,40.4955422161,49.9768066406
FZL,Fuzuli International Airport,39.594578,47.196128
HAE,Lava Falls Heliport,36.191600799599996,-113.092002869
AZB,Amazon Bay Airport,-10.2991666667,149.338333333
AZJ,Zhenjiang Dalu Airport,32.23649,119.718683
BAJ,Bali Airport,-4.8833333333299995,149.133333333
BAP,Baibara Airport,-10.3432,149.6414
BCJ,Baca Grande Airfield,37.964777777799995,-105.776666667
BCP,Bambu Airport,-5.863611111110001,146.4925
BCW,Benguera Island Airport,-21.853300094604492,35.43830108642578
BCZ,Milyakburra Airport,-13.780833333299999,136.201666667
ILL,Willmar Municipal Airport John L Rice Field (2006),45.117552,-95.132259
BDZ,Baindoung Airport,-6.34722222222,146.942222222
BEA,Bereina Airport,-8.64,146.5083
HKV,Malevo Airport,41.871799469,25.6047992706
JAM,Bezmer Air Base,42.4548988342,26.3521995544
JEG,Aasiaat Airport,68.721802,-52.784698
AOQ,Aappilattoq (Qaasuitsup) Heliport,72.88703,-55.596287
AGM,Tasiilaq Heliport,65.612296,-37.618335
QGQ,Attu Heliport,67.9406628551,-53.6218696833
UAK,Narsarsuaq Airport,61.1605,-45.425999
JCH,Qasigiannguit Heliport,68.822815547,-51.1734473705
CNP,Neerlerit Inaat Airport,70.7431030273,-22.6504993439
DUN,Dundas Airport,76.525,-68.8
QFG,Eqalugaarsuit Heliport,60.6197196536,-45.9140619636
GOH,Godthaab / Nuuk Airport,64.190903,-51.678101
JGO,Qeqertarsuaq Heliport,69.251181993,-53.5148763657
QFI,Iginniarfik,68.1472255861,-53.1735277176
QRY,Ikerassaarsuk Heliport,68.14088100629999,-53.4414589405
XIQ,Ilimanaq Heliport,69.0809150007,-51.1143153906
IUI,Innarsuit Heliport,73.199895,-56.010817
IOQ,Isortoq Heliport,65.547792,-38.976552
QJI,Ikamiut Heliport,68.6342530984,-51.8322622776
JJU,Qaqortoq Heliport,60.715684155299996,-46.0299186409
JAV,Ilulissat Airport,69.243202,-51.057098
QPW,Kangaatsiaq Heliport,68.3126574861,-53.4602075815
KUS,Kulusuk Airport,65.573601,-37.1236
KUZ,Kuummiut Heliport,65.863935,-36.997919
KHQ,Kullorsuaq Heliport,74.57805,-57.226828
KGQ,Kangersuatsiaq Heliport,72.381092,-55.536586
QJE,Kitsissuarsuit Heliport,68.85792599759999,-53.123295307199996
JSU,Maniitsoq Airport,65.412498,-52.9394
JNN,Nanortalik Heliport,60.141883975899994,-45.232976675
JNS,Narsaq Heliport,60.9172827256,-46.059923172
NIQ,Niaqornat Heliport,70.789385,-53.662945
NSQ,Nuussuaq Heliport,74.109853,-57.065037
BGP,Bongo Airport,-2.1713,10.2088
JFR,Paamiut Airport,62.0147361755,-49.6709365845
PQT,Qeqertaq Heliport,69.995861,-51.300917
NAQ,Qaanaaq Airport,77.4886016846,-69.3887023926
OBY,Ittoqqortoormiit Heliport,70.4882288244,-21.971679925900002
SFJ,Kangerlussuaq Airport,67.012222,-50.711603
SRK,Siorapaluk Heliport,77.786517,-70.638657
QOQ,Saarloq Heliport,60.537778,-46.024722
JHS,Sisimiut Airport,66.951302,-53.729301
SVR,Savissivik Heliport,76.018613,-65.117683
TQA,Tasiusaq (Qaasuitsup) Heliport,73.373055,-56.06028
THU,Thule Air Base,76.5311965942,-68.7032012939
TQI,Tiniteqilaaq Heliport,65.892027,-37.783409
JUV,Upernavik Airport,72.7901992798,-56.1305999756
UMD,Uummannaq Heliport,70.6804279261,-52.111630439799995
JQA,Qaarsut Airport,70.7341995239,-52.6962013245
JUK,Ukkusissat Heliport,71.049438,-51.890016
BHL,Bahía de los Ángeles Airport,28.9786,-113.560997
BHT,Brighton Downs Airport,-23.3638888889,141.562777778
AEY,Akureyri Airport,65.66000366210938,-18.07270050048828
BIU,Bildudalur Airport,65.64129638671875,-23.546199798583984
BGJ,Borgarfjörður eystri Airport,65.51640319824219,-13.805000305175781
BJD,Bakkafjörður Airport,66.02189636230469,-14.824399948120117
BLO,Hjaltabakki Airport,65.6449966430664,-20.287500381469727
BQD,Búðardalur Airport,65.07530212402344,-21.80030059814453
BXV,Breiðdalsvík Airport,64.790037,-14.043927
DJU,Djúpivogur Airport,64.642372,-14.277297
EGS,Egilsstaðir Airport,65.2833023071289,-14.401399612426758
FAS,Fáskrúðsfjörður Airport,64.931456,-14.047957
FAG,Fagurhólsmýri Airport,63.874698638916016,-16.64109992980957
GUU,Grundarfjörður Airport,64.99140167236328,-23.224700927734375
GJR,Gjögur Airport,65.99530029296875,-21.326900482177734
GRY,Grímsey Airport,66.5458,-18.0173
HVK,Hólmavík Airport,65.70469665527344,-21.696399688720703
HFN,Hornafjörður Airport,64.295601,-15.2272
FLI,Holt Airport,66.0141804294,-23.4416913986
HZK,Húsavík Airport,65.952301,-17.426001
HVM,Krókstaðarmelar Airport,65.26640319824219,-20.846900939941406
HLO,Ingjaldssanður Airport,66.05000305175781,-23.69610023498535
IFJ,Ísafjörður Airport,66.05809783935547,-23.135299682617188
BIJ,Biliau Airport,-5.578,146.339
KEF,Keflavik International Airport,63.985001,-22.6056
OPA,Kópasker Airport,66.31079864501953,-16.466699600219727
SAK,Sauðárkrókur Airport,65.73169708249999,-19.572799682599996
NOR,Norðfjörður Airport,65.13189697265625,-13.746399879455566
OFJ,Ólafsfjörður Airport,66.08329772949219,-18.66670036315918
PFJ,Patreksfjörður Airport,65.555801,-23.965
RHA,Reykhólar Airport,65.45262908935547,-22.20611572265625
OLI,Rif Airport,64.9113998413,-23.8230991364
RFN,Raufarhöfn Airport,66.40640258789062,-15.918299674987793
RKV,Reykjavik Airport,64.1299972534,-21.9405994415
MVA,Reykjahlíð Airport,65.65579986572266,-16.918100357055664
SIJ,Siglufjörður Airport,66.137847,-18.908157
SYK,Stykkishólmur Airport,65.05809783935547,-22.794200897216797
TEY,Þingeyri Airport,65.87030029296875,-23.559999465942383
THO,Þórshöfn Airport,66.218498,-15.3356
VEY,Vestmannaeyjar Airport,63.42430114746094,-20.278900146484375
VPN,Vopnafjörður Airport,65.72059631347656,-14.850600242614746
BIZ,Bimin Airport,-5.28611111111,142.033055556
BJE,Baleela Airport,11.199444444400001,28.5230555556
BJQ,Bahja Airport,19.8730555556,56.067777777799996
BJT,Bentota River Waterdrome,6.431,79.996
PRN,Priština Adem Jashari International Airport,42.5728,21.035801
BMH,Bomai Airport,-6.37316666667,144.637
BMQ,Bamburi Airport,-3.983363,39.730982
BMZ,Bamu Airport,-7.8485,143.2433
BNF,Baranof Warm Springs Float and Seaplane Base,57.088799,-134.833146
BNM,Bodinumu Airport,-9.107777777779999,147.666722222
BNQ,Baganga airport,7.611944444440001,126.568888889
BNT,Bundi Airport,-5.742222222220001,145.2275
BNV,Boana Airport,-6.433,146.825
BNZ,Banz Airport,-5.807,144.623
RBQ,Rurenabaque Airport,-14.427900314299999,-67.4968032837
BVL,Baures Airport,-13.583333015400001,-63.5833320618
BOF,Bolling Air Force Base,38.854049,-77.012046
BOK,Brookings Airport,42.0746,-124.290001
BOQ,Boku Airport,-6.5427,155.3419
BOT,Bosset Airport,-7.237257,141.1063222
BOV,Boang Airport,-3.3834,153.2812
BPF,Batuna Aerodrome,-8.56202777778,158.119305556
BQV,Bartlett Cove Seaplane Base,58.4552001953,-135.884994507
TUZ,Tucumã Airport,-6.7488,-51.1478
VDC,Glauber de Andrade Rocha Airport,-14.907885,-40.914804
ALT,Alenquer Municipal Airport,-1.917,-54.7231
SWM,Suia-Missu Airport,-11.671699523925781,-51.43470001220703
BRG,Whitesburg Municipal Airport,37.2219,-82.8742
NSB,Bimini North Seaplane Base,25.767000198364258,-79.25
BSP,Bensbach Airport,-8.85805555556,141.259444444
BSV,Besakoa Airport,-15.6725,47.0616666667
BTZ,Betong International Airport,5.79,101.15
BUL,Bulolo Airport,-7.216286671410001,146.649541855
BVP,Bolovip Airstrip,-5.3633,141.655
BVR,Esperadinha Airport,14.864306,-24.746
HUK,Hukuntsi Airport,-23.9897,21.758101
BWJ,Bawan Airport,-6.396944444440001,146.881666667
BWP,Bewani Airport,-3.0216666666700003,141.165277778
BXL,Blue Lagoon Seaplane Base,-16.943,177.368
BXZ,Bunsil Airport,-5.7243,147.8667
TXC,Orsha Airport - Balbasovo Air Base,54.439999,30.2967
BYA,Boundary Airport,64.0783004761,-141.113006592
BYL,Bella Yella Airport,7.36916666667,-9.99372222222
BYV,Beira Lake Seaplane Base,6.9294444444400005,79.85416666670001
BCV,Hector Silva Airstrip,17.269603,-88.776496
BGK,Big Creek Airport,16.519369,-88.407913
CUK,Caye Caulker Airport,17.735015,-88.032862
CYC,Caye Chapel Airport,17.683792,-88.044985
CZH,Corozal Municipal Airport,18.382200241088867,-88.41190338134766
DGA,Dangriga Airport,16.98251,-88.230988
INB,Independence Airport,16.5345,-88.441299
MDB,Melinda Airport,17.0042991638,-88.30419921880001
ORZ,Orange Walk Airport,18.0467662811,-88.58386993410001
PLJ,Placencia Airport,16.536956787109375,-88.36151123046875
PND,Punta Gorda Airport,16.102399826,-88.80829620360001
SJX,Sartaneja Airport,18.35610008239746,-88.13079833984375
SPR,John Greif II Airport,17.9139,-87.9711
SQS,Matthew Spain Airport,17.1859,-89.0098
STU,Santa Cruz Airport,18.2721004486084,-88.456298828125
SVK,Silver Creek Airport,16.728338,-88.369174
TZA,Sir Barry Bowen Municipal Airport,17.51639,-88.194443
BZB,Bazaruto Island Airport,-21.5411,35.4729
BZM,Bemolanga Airport,-17.6925,45.0888333333
BZS,Buzzards Point Seaplane Base,38.863,-77.011
YYS,Blissville Airport,45.605633,-66.543678
YLM,Clinton Creek Airport,64.475545,-140.741748
YGY,Deception Airport,62.112314446199996,-74.554681778
